"","Date","CFNAI"
"1",2008-01-31,-0.25
"2",2008-02-29,-0.78
"3",2008-03-31,-0.79
"4",2008-04-30,-0.67
"5",2008-05-31,-0.79
"6",2008-06-30,-0.7
"7",2008-07-31,-1.21
"8",2008-08-31,-1.23
"9",2008-09-30,-2.49
"10",2008-10-31,-1.1
"11",2008-11-30,-2.29
"12",2008-12-31,-2.59
"13",2009-01-31,-2.95
"14",2009-02-28,-1.19
"15",2009-03-31,-2.27
"16",2009-04-30,-1.57
"17",2009-05-31,-1.13
"18",2009-06-30,-0.87
"19",2009-07-31,0.15
"20",2009-08-31,0.01
"21",2009-09-30,-0.22
"22",2009-10-31,-0.31
"23",2009-11-30,0.05
"24",2009-12-31,-0.3
"25",2010-01-31,0.16
"26",2010-02-28,-0.35
"27",2010-03-31,0.47
"28",2010-04-30,0.38
"29",2010-05-31,0.31
"30",2010-06-30,-0.15
"31",2010-07-31,0.14
"32",2010-08-31,-0.16
"33",2010-09-30,-0.2
"34",2010-10-31,-0.13
"35",2010-11-30,-0.2
"36",2010-12-31,0.06
"37",2011-01-31,0.03
"38",2011-02-28,-0.37
"39",2011-03-31,0.39
"40",2011-04-30,-0.5
"41",2011-05-31,-0.33
"42",2011-06-30,-0.01
"43",2011-07-31,0.16
"44",2011-08-31,-0.01
"45",2011-09-30,-0.26
"46",2011-10-31,0.16
"47",2011-11-30,-0.35
"48",2011-12-31,0.25
"49",2012-01-31,0.34
"50",2012-02-29,-0.01
"51",2012-03-31,-0.4
"52",2012-04-30,0.06
"53",2012-05-31,-0.18
"54",2012-06-30,-0.33
"55",2012-07-31,-0.27
"56",2012-08-31,-0.46
"57",2012-09-30,-0.11
"58",2012-10-31,-0.26
"59",2012-11-30,0.27
"60",2012-12-31,0.15
"61",2013-01-31,-0.36
"62",2013-02-28,0.23
"63",2013-03-31,-0.28
"64",2013-04-30,-0.3
"65",2013-05-31,0.14
"66",2013-06-30,-0.16
"67",2013-07-31,-0.52
"68",2013-08-31,0.27
"69",2013-09-30,0.09
"70",2013-10-31,-0.01
"71",2013-11-30,0.27
"72",2013-12-31,-0.14
"73",2014-01-31,-0.73
"74",2014-02-28,0.45
"75",2014-03-31,0.44
"76",2014-04-30,0.03
"77",2014-05-31,0.12
"78",2014-06-30,0.13
"79",2014-07-31,0.32
"80",2014-08-31,-0.25
"81",2014-09-30,0.02
"82",2014-10-31,0.02
"83",2014-11-30,0.24
"84",2014-12-31,0.07
"85",2015-01-31,-0.28
"86",2015-02-28,-0.46
"87",2015-03-31,-0.04
"88",2015-04-30,-0.03
"89",2015-05-31,-0.34
"90",2015-06-30,-0.11
"91",2015-07-31,0.32
"92",2015-08-31,-0.31
"93",2015-09-30,-0.12
"94",2015-10-31,-0.24
"95",2015-11-30,-0.36
"96",2015-12-31,-0.29
"97",2016-01-31,0.06
"98",2016-02-29,-0.21
"99",2016-03-31,-0.35
"100",2016-04-30,-0.12
"101",2016-05-31,-0.32
"102",2016-06-30,0.11
"103",2016-07-31,0.05
"104",2016-08-31,-0.2
"105",2016-09-30,-0.11
"106",2016-10-31,-0.03
"107",2016-11-30,-0.22
"108",2016-12-31,0.34
"109",2017-01-31,-0.11
"110",2017-02-28,-0.07
"111",2017-03-31,0.04
"112",2017-04-30,0.31
"113",2017-05-31,0.01
"114",2017-06-30,0.15
"115",2017-07-31,-0.15
"116",2017-08-31,0
"117",2017-09-30,0.16
"118",2017-10-31,0.53
"119",2017-11-30,0.18
"120",2017-12-31,0.18
"121",2018-01-31,-0.27
"122",2018-02-28,0.49
"123",2018-03-31,0.15
"124",2018-04-30,0.39
"125",2018-05-31,-0.19
"126",2018-06-30,0.23
"127",2018-07-31,0.06
"128",2018-08-31,0.28
"129",2018-09-30,-0.03
"130",2018-10-31,-0.18
"131",2018-11-30,-0.12
"132",2018-12-31,-0.18
"133",2019-01-31,-0.28
"134",2019-02-28,-0.31
"135",2019-03-31,-0.06
"136",2019-04-30,-0.52
"137",2019-05-31,0
"138",2019-06-30,0.07
"139",2019-07-31,-0.33
"140",2019-08-31,0.13
"141",2019-09-30,-0.41
"142",2019-10-31,-0.65
"143",2019-11-30,0.09
"144",2019-12-31,-0.37
"145",2020-01-31,-0.15
"146",2020-02-29,0.24
"147",2020-03-31,-4.25
"148",2020-04-30,-17.99
"149",2020-05-31,4.62
"150",2020-06-30,6.14
"151",2020-07-31,2.53
"152",2020-08-31,1.21
"153",2020-09-30,0.45
"154",2020-10-31,0.91
"155",2020-11-30,0.15
"156",2020-12-31,0.44
"157",2021-01-31,1.16
"158",2021-02-28,-1.54
"159",2021-03-31,2.21
"160",2021-04-30,-0.07
"161",2021-05-31,0.16
"162",2021-06-30,0.21
"163",2021-07-31,0.74
"164",2021-08-31,0.04
"165",2021-09-30,-0.04
"166",2021-10-31,0.85
"167",2021-11-30,0.51
"168",2021-12-31,0.09
"169",2022-01-31,0.48
"170",2022-02-28,0.5
"171",2022-03-31,0.19
"172",2022-04-30,0.21
"173",2022-05-31,-0.25
"174",2022-06-30,-0.34
"175",2022-07-31,0.24
"176",2022-08-31,0.18
"177",2022-09-30,0.07
"178",2022-10-31,0
"179",2022-11-30,-0.51
"180",2022-12-31,-0.49
