"","Date","cumulative_jobs","cumulative_vacancy","cumulative_total"
"1",2022-01-01,-187.2,-24.855,-212.055
"2",2022-02-01,170.6,-44.02,126.58
"3",2022-03-01,190.1,100.095,290.195
"4",2022-04-01,243,156.395,399.395
"5",2022-05-01,274.7,159.045,433.745
"6",2022-06-01,229.6,142.685,372.285
"7",2022-07-01,257.9,122.145,380.045
"8",2022-08-01,233.2,96.5,329.7
"9",2022-09-01,244.9,110.23,355.13
"10",2022-10-01,313.2,24.86,338.06
"11",2022-11-01,339.9,-54.225,285.675
"12",2022-12-01,409.1,-54.225,354.875
