"","Date","all_industry","goods","services"
"1",2022-01-01,-0.202344766406026,0.643367404933248,-0.502522984774989
"2",2022-02-01,0.714102028590835,0.687906810260053,0.729625244574894
"3",2022-03-01,0.678683722561768,1.10669522134768,0.521751246608848
"4",2022-04-01,0.141614127401901,0.533038850561374,-0.00150964422489519
"5",2022-05-01,0.151417261665432,-0.652621606800574,0.445351769569924
"6",2022-06-01,0.283861826626008,0.534550084164298,0.188281588916261
"7",2022-07-01,0.251575016045313,0.73976742881523,0.0691432308163265
"8",2022-08-01,0.252252217323634,0.0425212395278818,0.324762271427947
"9",2022-09-01,0.174126082366177,0.344579243949616,0.105752831791861
"10",2022-10-01,0.148729525561508,-0.467610179177735,0.370049217767243
"11",2022-11-01,0.0909747988242726,-0.125135521262909,0.162169981721227
